"","male","male_p","age","subject","top_1","top_2","bottom_1","bottom_2","d"
"1",0,0,50,1,140,140,120,180,0
"2",0,0,50,1,140,0,120,140,1
"3",0,0,50,1,140,120,80,80,0
"4",0,0,50,1,140,100,100,40,0
"5",0,0,50,1,100,140,100,200,0
"6",0,0,50,1,80,0,140,100,1
"7",0,0,50,1,160,40,120,80,1
"8",0,0,50,1,120,40,140,100,1
"9",0,0,50,1,140,160,160,120,1
"10",0,0,50,1,100,100,200,0,0
"11",0,0,50,1,100,200,100,100,1
"12",0,0,50,1,80,40,140,100,1
"13",0,0,50,1,140,20,120,100,1
"14",0,0,50,1,120,80,100,100,1
"15",0,0,50,1,100,140,100,60,0
"16",0,0,50,1,160,0,100,100,1
"17",0,0,50,1,120,0,140,140,1
"18",0,0,50,1,120,120,140,40,0
"19",0,0,50,1,140,140,120,80,0
"20",0,0,50,1,80,80,140,40,0
"21",0,0,50,1,120,120,140,80,0
"22",0,0,50,1,100,20,100,100,1
"23",0,0,50,1,120,0,140,100,1
"24",0,0,50,1,160,80,140,160,1
"25",0,0,50,1,200,0,180,20,1
"26",1,1,45,2,140,140,120,180,0
"27",1,1,45,2,140,0,120,140,1
"28",1,1,45,2,140,120,80,80,0
"29",1,1,45,2,140,100,100,40,0
"30",1,1,45,2,100,140,100,200,0
"31",1,1,45,2,80,0,140,100,1
"32",1,1,45,2,160,40,120,80,0
"33",1,1,45,2,120,40,140,100,1
"34",1,1,45,2,140,160,160,120,0
"35",1,1,45,2,100,100,200,0,1
"36",1,1,45,2,100,200,100,100,0
"37",1,1,45,2,80,40,140,100,1
"38",1,1,45,2,140,20,120,100,1
"39",1,1,45,2,120,80,100,100,1
"40",1,1,45,2,100,140,100,60,0
"41",1,1,45,2,160,0,100,100,1
"42",1,1,45,2,120,0,140,140,1
"43",1,1,45,2,120,120,140,40,0
"44",1,1,45,2,140,140,120,80,0
"45",1,1,45,2,80,80,140,40,1
"46",1,1,45,2,120,120,140,80,0
"47",1,1,45,2,100,20,100,100,1
"48",1,1,45,2,120,0,140,100,1
"49",1,1,45,2,160,80,140,160,1
"50",1,1,45,2,200,0,180,20,0
"51",1,0,31,3,140,140,120,180,0
"52",1,0,31,3,140,0,120,140,1
"53",1,0,31,3,140,120,80,80,0
"54",1,0,31,3,140,100,100,40,0
"55",1,0,31,3,100,140,100,200,1
"56",1,0,31,3,80,0,140,100,1
"57",1,0,31,3,160,40,120,80,1
"58",1,0,31,3,120,40,140,100,1
"59",1,0,31,3,140,160,160,120,0
"60",1,0,31,3,100,100,200,0,0
"61",1,0,31,3,100,200,100,100,0
"62",1,0,31,3,80,40,140,100,1
"63",1,0,31,3,140,20,120,100,1
"64",1,0,31,3,120,80,100,100,1
"65",1,0,31,3,100,140,100,60,0
"66",1,0,31,3,160,0,100,100,1
"67",1,0,31,3,120,0,140,140,1
"68",1,0,31,3,120,120,140,40,0
"69",1,0,31,3,140,140,120,80,0
"70",1,0,31,3,80,80,140,40,0
"71",1,0,31,3,120,120,140,80,0
"72",1,0,31,3,100,20,100,100,1
"73",1,0,31,3,120,0,140,100,1
"74",1,0,31,3,160,80,140,160,1
"75",1,0,31,3,200,0,180,20,1
"76",0,0,39,4,140,140,120,180,0
"77",0,0,39,4,140,0,120,140,1
"78",0,0,39,4,140,120,80,80,0
"79",0,0,39,4,140,100,100,40,0
"80",0,0,39,4,100,140,100,200,0
"81",0,0,39,4,80,0,140,100,1
"82",0,0,39,4,160,40,120,80,1
"83",0,0,39,4,120,40,140,100,1
"84",0,0,39,4,140,160,160,120,1
"85",0,0,39,4,100,100,200,0,0
"86",0,0,39,4,100,200,100,100,1
"87",0,0,39,4,80,40,140,100,1
"88",0,0,39,4,140,20,120,100,1
"89",0,0,39,4,120,80,100,100,1
"90",0,0,39,4,100,140,100,60,0
"91",0,0,39,4,160,0,100,100,1
"92",0,0,39,4,120,0,140,140,1
"93",0,0,39,4,120,120,140,40,0
"94",0,0,39,4,140,140,120,80,0
"95",0,0,39,4,80,80,140,40,1
"96",0,0,39,4,120,120,140,80,0
"97",0,0,39,4,100,20,100,100,1
"98",0,0,39,4,120,0,140,100,1
"99",0,0,39,4,160,80,140,160,1
"100",0,0,39,4,200,0,180,20,0
"101",0,1,49,5,140,140,120,180,0
"102",0,1,49,5,140,0,120,140,1
"103",0,1,49,5,140,120,80,80,0
"104",0,1,49,5,140,100,100,40,0
"105",0,1,49,5,100,140,100,200,1
"106",0,1,49,5,80,0,140,100,1
"107",0,1,49,5,160,40,120,80,1
"108",0,1,49,5,120,40,140,100,1
"109",0,1,49,5,140,160,160,120,0
"110",0,1,49,5,100,100,200,0,0
"111",0,1,49,5,100,200,100,100,0
"112",0,1,49,5,80,40,140,100,1
"113",0,1,49,5,140,20,120,100,1
"114",0,1,49,5,120,80,100,100,1
"115",0,1,49,5,100,140,100,60,0
"116",0,1,49,5,160,0,100,100,1
"117",0,1,49,5,120,0,140,140,1
"118",0,1,49,5,120,120,140,40,0
"119",0,1,49,5,140,140,120,80,0
"120",0,1,49,5,80,80,140,40,0
"121",0,1,49,5,120,120,140,80,0
"122",0,1,49,5,100,20,100,100,1
"123",0,1,49,5,120,0,140,100,1
"124",0,1,49,5,160,80,140,160,1
"125",0,1,49,5,200,0,180,20,1
